vision,par_id,traj_ind,x,y
preview,2,0,-408.966175,11.41025
preview,2,5,-408.8496333,13.299125
preview,2,10,-408.5353917,14.20083333
preview,2,15,-403.0027583,22.83931667
preview,2,20,-392.481925,40.795225
preview,2,25,-381.13335,59.994825
preview,2,30,-374.6347333,70.06870833
preview,2,35,-356.9703667,93.03995833
preview,2,40,-343.7290167,107.9205167
preview,2,45,-332.640675,119.5420083
preview,2,50,-312.482075,138.099575
preview,2,55,-302.2201083,146.7452083
preview,2,60,-292.9249583,153.9050667
preview,2,65,-282.4347083,161.3057917
preview,2,70,-267.1514833,170.59475
preview,2,75,-256.6080333,175.892725
preview,2,80,-253.3611333,176.936325
preview,2,85,-245.2464667,179.89195
preview,2,90,-239.24995,181.2300917
preview,2,95,-238.771875,181.1391833
preview,2,100,-237.1308,183.038225
preview,3,0,-407.9991929,2.131057857
preview,3,5,-403.4110429,8.819892857
preview,3,10,-396.2071929,19.69537857
preview,3,15,-386.4485357,33.72872857
preview,3,20,-375.4750786,47.91273571
preview,3,25,-359.5127857,66.71995714
preview,3,30,-342.9731071,84.35050714
preview,3,35,-325.5845929,101.2216
preview,3,40,-308.2108286,116.5455714
preview,3,45,-291.9023357,129.7114786
preview,3,50,-273.97125,143.1772214
preview,3,55,-268.5442143,147.2378714
preview,3,60,-257.5859286,155.2680714
preview,3,65,-248.39025,161.89705
preview,3,70,-241.1430929,167.1171929
preview,3,75,-236.2775357,171.08095
preview,3,80,-233.7559429,173.7068071
preview,3,85,-233.1735286,175.0483143
preview,3,90,-232.1374571,176.2957286
preview,3,95,-232.0425429,177.0049143
preview,3,100,-232.6411571,177.4865571
preview,4,0,-413.1415,7.836946667
preview,4,5,-407.3729467,14.29605333
preview,4,10,-401.2824733,22.01746667
preview,4,15,-393.9188867,34.16315333
preview,4,20,-386.28792,47.54468
preview,4,25,-375.6656533,65.54080667
preview,4,30,-366.6633933,79.27109333
preview,4,35,-352.2762333,99.15828
preview,4,40,-335.8850333,118.0175333
preview,4,45,-319.53412,134.0485067
preview,4,50,-298.77644,150.3500667
preview,4,55,-288.4622533,157.1991533
preview,4,60,-274.9690267,165.62206
preview,4,65,-262.37438,172.55132
preview,4,70,-251.3693,177.9632333
preview,4,75,-242.5486467,181.77428
preview,4,80,-237.7241933,183.676
preview,4,85,-233.20852,185.7253133
preview,4,90,-228.0049333,187.4823733
preview,4,95,-224.7124467,188.6732933
preview,4,100,-222.76432,189.9624867
preview,6,0,-403.0819769,9.438461538
preview,6,5,-398.4499846,20.93963846
preview,6,10,-394.9144615,29.10036154
preview,6,15,-385.6997692,46.10773077
preview,6,20,-373.0729462,64.51142308
preview,6,25,-359.2492077,82.4181
preview,6,30,-346.7737923,96.18768462
preview,6,35,-327.2402615,115.1518769
preview,6,40,-311.6899077,128.5687308
preview,6,45,-294.9069231,141.8868154
preview,6,50,-277.3357154,154.3851846
preview,6,55,-267.3706385,160.9026385
preview,6,60,-256.3385154,168.1659308
preview,6,65,-248.5157538,172.8242846
preview,6,70,-240.4595923,177.7870692
preview,6,75,-234.0488231,181.7517846
preview,6,80,-231.7141923,183.1671077
preview,6,85,-228.7894615,185.1388154
preview,6,90,-227.0734231,186.2338615
preview,6,95,-225.8251077,186.6212308
preview,6,100,-225.0715,187.1030077
preview,7,0,-403.4486286,7.893514286
preview,7,5,-399.0147643,16.87768571
preview,7,10,-392.2102143,28.59657857
preview,7,15,-384.7320571,39.96182857
preview,7,20,-376.99175,50.80920714
preview,7,25,-364.1342429,67.00774286
preview,7,30,-351.6445643,81.31869286
preview,7,35,-337.7217857,95.62643571
preview,7,40,-320.58285,111.6258
preview,7,45,-303.6527857,126.1560071
preview,7,50,-288.0902571,138.7211286
preview,7,55,-284.7268071,141.3566929
preview,7,60,-271.9778286,151.3763143
preview,7,65,-260.8369286,159.7982857
preview,7,70,-251.2235571,166.7035929
preview,7,75,-244.9953643,171.2110571
preview,7,80,-239.7482857,174.9300643
preview,7,85,-236.6639643,177.0594714
preview,7,90,-233.2023357,179.5918143
preview,7,95,-231.4706643,181.1402429
preview,7,100,-230.0756214,182.4841429
preview,8,0,-398.6338,4.703773333
preview,8,5,-395.3765267,8.160293333
preview,8,10,-388.9605,16.17186667
preview,8,15,-378.5767133,28.86075333
preview,8,20,-364.1556333,45.73783333
preview,8,25,-346.9148667,64.47465333
preview,8,30,-328.78552,82.49293333
preview,8,35,-309.84256,100.40088
preview,8,40,-289.9751,117.74494
preview,8,45,-272.90474,131.8919333
preview,8,50,-252.09734,148.9703
preview,8,55,-243.3247133,156.54012
preview,8,60,-234.4195267,164.4646733
preview,8,65,-227.45036,171.2120067
preview,8,70,-223.1229467,176.5252133
preview,8,75,-220.89022,180.09226
preview,8,80,-220.1820133,181.9162067
preview,8,85,-220.0017733,183.4374533
preview,8,90,-220.0104,184.67702
preview,8,95,-220.2296467,185.2657733
preview,8,100,-220.46018,185.6550333
preview,9,0,-399.8386071,-5.957964286
preview,9,5,-397.3578071,-1.60026
preview,9,10,-392.3481571,6.679757143
preview,9,15,-388.3166571,13.20139286
preview,9,20,-381.0526857,24.52665714
preview,9,25,-370.51295,40.08247857
preview,9,30,-361.7443357,52.22824286
preview,9,35,-349.0212857,67.51717857
preview,9,40,-340.0774071,77.78977143
preview,9,45,-325.9352643,92.39283571
preview,9,50,-309.7609857,106.9068214
preview,9,55,-299.148,115.27015
preview,9,60,-284.4760429,126.2036
preview,9,65,-275.2002857,132.7209143
preview,9,70,-261.2945,141.3627214
preview,9,75,-250.2820357,147.2407929
preview,9,80,-242.5857,150.5644714
preview,9,85,-235.5351286,153.9329143
preview,9,90,-231.2975786,155.7066857
preview,9,95,-228.1489429,157.6758857
preview,9,100,-226.1202214,159.4292786
preview,10,0,-407.1279929,23.04297143
preview,10,5,-403.1431214,30.01842143
preview,10,10,-399.5266786,34.94197857
preview,10,15,-388.5625571,49.09049286
preview,10,20,-376.8924643,64.7237
preview,10,25,-364.8329357,79.55173571
preview,10,30,-348.3931,98.24106429
preview,10,35,-337.0191643,109.6148143
preview,10,40,-327.7879143,118.9272286
preview,10,45,-314.1707143,131.0995
preview,10,50,-295.01775,146.5690714
preview,10,55,-288.4273714,151.0572929
preview,10,60,-275.2931357,160.3104071
preview,10,65,-266.5531286,165.9795571
preview,10,70,-254.2799286,173.5769857
preview,10,75,-243.8291786,179.1512143
preview,10,80,-237.0922,182.0302643
preview,10,85,-230.0845786,184.6914214
preview,10,90,-222.09085,187.0315143
preview,10,95,-222.0857571,186.9844143
preview,10,100,-219.8622714,189.6618857
preview,11,0,-400.3911923,15.16808462
preview,11,5,-392.4209923,26.17686154
preview,11,10,-392.4209923,26.17686154
preview,11,15,-379.3412538,44.48026923
preview,11,20,-377.3181308,47.85482308
preview,11,25,-361.5966077,70.11513846
preview,11,30,-351.9648462,83.04817692
preview,11,35,-341.7821154,97.16964615
preview,11,40,-330.8004231,110.4888308
preview,11,45,-320.7784077,122.2222154
preview,11,50,-308.1644154,135.8730692
preview,11,55,-288.4998,153.4142077
preview,11,60,-286.3064154,155.4377846
preview,11,65,-266.8558923,168.5437538
preview,11,70,-263.1675231,170.3741769
preview,11,75,-244.4063462,180.0071
preview,11,80,-237.9889385,182.5206
preview,11,85,-230.0223077,186.0620769
preview,11,90,-225.8239385,189.4256615
preview,11,95,-223.5125154,192.1831846
preview,11,100,-221.8048231,194.1092769
preview,12,0,-402.98558,21.09988
preview,12,5,-400.42226,26.55548667
preview,12,10,-398.1478267,32.13759333
preview,12,15,-394.5714267,40.38315333
preview,12,20,-388.8240333,50.99016
preview,12,25,-380.3154267,65.75529333
preview,12,30,-375.6182733,73.21592
preview,12,35,-364.68442,89.15352
preview,12,40,-351.8292267,105.06414
preview,12,45,-339.5659,119.15334
preview,12,50,-322.3663,136.36758
preview,12,55,-309.63458,148.10464
preview,12,60,-295.50224,159.5749267
preview,12,65,-280.63614,169.63078
preview,12,70,-264.6358267,178.7428933
preview,12,75,-250.7376533,184.0182867
preview,12,80,-244.8327067,185.4279267
preview,12,85,-234.9716533,187.95858
preview,12,90,-230.4870867,191.84678
preview,12,95,-227.1784333,193.0840667
preview,12,100,-224.9634733,194.3788667
preview,13,0,-403.0267692,36.72658462
preview,13,5,-399.7670923,42.21482308
preview,13,10,-395.0524538,50.79273846
preview,13,15,-389.7340154,59.00835385
preview,13,20,-383.3749923,68.69091538
preview,13,25,-371.8794385,84.63102308
preview,13,30,-362.6692308,96.44626154
preview,13,35,-349.5020923,111.8008692
preview,13,40,-337.8657385,124.0954538
preview,13,45,-322.1150385,139.4820308
preview,13,50,-305.3672077,154.0934077
preview,13,55,-296.1841308,161.3290308
preview,13,60,-282.0187538,172.0609769
preview,13,65,-272.3082231,178.8951923
preview,13,70,-260.9183154,186.4443846
preview,13,75,-252.1315769,191.9835308
preview,13,80,-246.4319077,195.4048769
preview,13,85,-241.8263692,197.7033692
preview,13,90,-238.1603769,199.1733462
preview,13,95,-234.5163462,199.9577
preview,13,100,-231.8504692,199.4802769
preview,14,0,-394.4238143,9.785342857
preview,14,5,-391.4114643,18.15935714
preview,14,10,-388.5387429,25.25760714
preview,14,15,-379.1888714,42.92325714
preview,14,20,-372.4201643,55.28655714
preview,14,25,-355.6387286,80.17116429
preview,14,30,-340.53865,98.88844286
preview,14,35,-326.0325286,114.4646714
preview,14,40,-310.4192929,129.6357286
preview,14,45,-293.86465,144.0289
preview,14,50,-274.2319929,157.9667643
preview,14,55,-265.66565,162.5387357
preview,14,60,-252.1735429,169.9183357
preview,14,65,-241.7795929,174.6322143
preview,14,70,-231.7255929,178.2641857
preview,14,75,-226.9210214,180.1510929
preview,14,80,-221.5295429,181.3696857
preview,14,85,-219.8745429,181.1438357
preview,14,90,-217.1142143,180.8831929
preview,14,95,-217.5417429,180.51375
preview,14,100,-216.9265214,181.2904357
preview,15,0,-399.7808615,37.63937692
preview,15,5,-389.5437538,49.33351538
preview,15,10,-381.8305769,58.93334615
preview,15,15,-374.6009615,68.55667692
preview,15,20,-359.2148846,87.56365385
preview,15,25,-341.7475385,107.6580462
preview,15,30,-320.2473308,129.3821462
preview,15,35,-308.6110615,138.6646
preview,15,40,-291.7480385,153.7830923
preview,15,45,-276.6266923,165.0062462
preview,15,50,-258.5262077,177.9791615
preview,15,55,-253.0037,181.4659385
preview,15,60,-243.2794,187.3133077
preview,15,65,-233.8144308,192.5828231
preview,15,70,-227.2840923,195.6271923
preview,15,75,-222.9545462,197.6610231
preview,15,80,-218.5143769,199.8863308
preview,15,85,-215.7009462,201.8562
preview,15,90,-213.6309308,204.5744846
