location,target,cue_ind,soa,screen_calib_routine.thisRepN,screen_calib_routine.thisTrialN,screen_calib_routine.thisN,screen_calib_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_welcome.started,text_welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_type,text_4.started,text_4.stopped,screen_calib_circle_2.started,screen_calib_circle_2.stopped,calib_start.started,calib_start.stopped,screen_calib_circle.started,screen_calib_circle.stopped,text_5.started,text_5.stopped,sound_2.started,sound_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_7.started,text_7.stopped,keep_trial,text_instr_2.started,text_instr_2.stopped,soa_actual,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,participant,expVersion,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,56.90640859999985,None,space,33.50792430000001,56.90640859999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
1,,,,0,0,0,0,,,,,,,,,,,calibration,91.14049979999982,None,91.14049979999982,None,91.14049979999982,None,96.37394119999954,None,96.37394119999954,None,96.37407371999761,None,space,4.389221199999156,96.37394119999954,None,101.34075360000134,None,True,,,,,,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
2,,,,0,1,1,1,,,,,,,,,,,calibration,113.0076267000004,None,113.0076267000004,None,113.0076267000004,None,115.20770700000139,None,115.20770700000139,None,115.20781481999693,115.31001689999903,space,4.057820100002573,115.20770700000139,None,119.84116229999927,None,True,,,,,,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
3,,,,0,2,2,2,,,,,,,,,,,calibration,128.99136369999906,None,128.99136369999906,None,128.99136369999906,None,149.82516849999956,None,149.82516849999956,None,149.82525081999736,None,space,2.2415581999994174,149.82516849999956,None,152.6252158999996,None,True,,,,,,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
4,,,,0,3,3,3,,,,,,,,,,,calibration,156.25861689999874,None,156.25861689999874,None,156.25861689999874,None,157.42529650000142,None,157.42529650000142,None,157.42711051999757,None,space,1.5043050999993284,157.42529650000142,None,159.49232610000035,None,True,,,,,,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,1100,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,True,163.52947309999945,None,1.116680399998586,space,41.874314500000764,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,1100,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166675999993458,space,0.5793669999984559,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,350,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36668139999892446,space,2.6741887999996834,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,100,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11665569999968284,space,0.7687998000001244,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,1100,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,1.1166668000005302,space,12.228419699997175,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
