vib,modality,vision,par_id,traj_ind,x,y
novib,limb,preview,2,0,-408.966175,11.41025
novib,limb,preview,2,5,-408.8496333,13.299125
novib,limb,preview,2,10,-408.5353917,14.20083333
novib,limb,preview,2,15,-403.0027583,22.83931667
novib,limb,preview,2,20,-392.481925,40.795225
novib,limb,preview,2,25,-381.13335,59.994825
novib,limb,preview,2,30,-374.6347333,70.06870833
novib,limb,preview,2,35,-356.9703667,93.03995833
novib,limb,preview,2,40,-343.7290167,107.9205167
novib,limb,preview,2,45,-332.640675,119.5420083
novib,limb,preview,2,50,-312.482075,138.099575
novib,limb,preview,2,55,-302.2201083,146.7452083
novib,limb,preview,2,60,-292.9249583,153.9050667
novib,limb,preview,2,65,-282.4347083,161.3057917
novib,limb,preview,2,70,-267.1514833,170.59475
novib,limb,preview,2,75,-256.6080333,175.892725
novib,limb,preview,2,80,-253.3611333,176.936325
novib,limb,preview,2,85,-245.2464667,179.89195
novib,limb,preview,2,90,-239.24995,181.2300917
novib,limb,preview,2,95,-238.771875,181.1391833
novib,limb,preview,2,100,-237.1308,183.038225
novib,limb,preview,3,0,-407.9991929,2.131057857
novib,limb,preview,3,5,-403.4110429,8.819892857
novib,limb,preview,3,10,-396.2071929,19.69537857
novib,limb,preview,3,15,-386.4485357,33.72872857
novib,limb,preview,3,20,-375.4750786,47.91273571
novib,limb,preview,3,25,-359.5127857,66.71995714
novib,limb,preview,3,30,-342.9731071,84.35050714
novib,limb,preview,3,35,-325.5845929,101.2216
novib,limb,preview,3,40,-308.2108286,116.5455714
novib,limb,preview,3,45,-291.9023357,129.7114786
novib,limb,preview,3,50,-273.97125,143.1772214
novib,limb,preview,3,55,-268.5442143,147.2378714
novib,limb,preview,3,60,-257.5859286,155.2680714
novib,limb,preview,3,65,-248.39025,161.89705
novib,limb,preview,3,70,-241.1430929,167.1171929
novib,limb,preview,3,75,-236.2775357,171.08095
novib,limb,preview,3,80,-233.7559429,173.7068071
